eventid|venueid|catid|dateid|eventname|starttime
5056|32|9|1832|My Bloody Valentine|2008-01-06 15:00:00.000000
5751|68|9|1832|Josh Turner|2008-01-06 19:30:00.000000
7441|55|9|1832|America|2008-01-06 14:00:00.000000
8083|114|9|1832|George Thorogood|2008-01-06 19:00:00.000000
8138|7|9|1832|Dennis DeYoung|2008-01-06 14:00:00.000000
4132|84|9|1833|Cowboy Junkies|2008-01-07 19:00:00.000000
4564|100|9|1833|Fleet Foxes|2008-01-07 14:00:00.000000
4837|38|9|1833|Lucinda Williams|2008-01-07 15:00:00.000000
6200|7|9|1833|Motley Crue|2008-01-07 19:00:00.000000
6648|72|9|1833|Mariah Carey|2008-01-07 14:00:00.000000
6941|72|9|1833|Crue Fest|2008-01-07 19:00:00.000000
7060|95|9|1833|Billy Joel|2008-01-07 14:00:00.000000
7434|62|9|1833|The Jesus and Mary Chain|2008-01-07 19:00:00.000000
7627|84|9|1833|Hippiefest|2008-01-07 15:00:00.000000
7779|20|9|1833|Sound Tribe Sector 9|2008-01-07 14:00:00.000000
7827|60|9|1833|Great Big Sea|2008-01-07 19:00:00.000000
7914|4|9|1833|Herbie Hancock|2008-01-07 19:00:00.000000
8016|26|9|1833|Widespread Panic|2008-01-07 15:00:00.000000
8325|80|9|1833|Rick Springfield|2008-01-07 19:30:00.000000
17|301|8|1834|La Gioconda|2008-01-08 19:00:00.000000
178|303|8|1834|Salome|2008-01-08 14:30:00.000000
785|222|6|1834|A Catered Affair|2008-01-08 19:30:00.000000
1529|258|6|1834|Mystere Cirque du Soleil|2008-01-08 19:30:00.000000
2557|211|7|1834|The Cherry Orchard|2008-01-08 19:30:00.000000
2589|227|7|1834|The Caucasian Chalk Circle|2008-01-08 20:00:00.000000
2823|205|7|1834|A Midsummer Night's Dream|2008-01-08 15:00:00.000000
3127|239|7|1834|Wicked|2008-01-08 15:00:00.000000
3281|222|7|1834|Avenue Q|2008-01-08 14:00:00.000000
4608|90|9|1834|Kool and The Gang|2008-01-08 20:00:00.000000
5069|69|9|1834|Smashing Pumpkins|2008-01-08 19:30:00.000000
5156|64|9|1834|Oliver Dragojevic|2008-01-08 15:00:00.000000
6320|123|9|1834|Jimmy Buffett|2008-01-08 14:00:00.000000
6609|53|9|1834|Govt Mule|2008-01-08 19:00:00.000000
6994|16|9|1834|Nofx|2008-01-08 19:30:00.000000
7570|119|9|1834|Mars Volta|2008-01-08 14:00:00.000000
529|213|6|1835|Jersey Boys|2008-01-09 19:00:00.000000
3855|60|9|1835|Celine Dion|2008-01-09 15:00:00.000000
3971|74|9|1835|Toad The Wet Sprocket|2008-01-09 20:00:00.000000
4068|46|9|1835|Cowboy Junkies|2008-01-09 19:30:00.000000
4615|81|9|1835|Smokey Robinson|2008-01-09 14:30:00.000000
4794|57|9|1835|Eva Ayllon|2008-01-09 19:30:00.000000
5873|70|9|1835|Natasha Bedingfield|2008-01-09 14:00:00.000000
6297|30|9|1835|Vince Gill|2008-01-09 15:00:00.000000
7592|13|9|1835|Billy Idol|2008-01-09 14:00:00.000000
7879|6|9|1835|Burt Bacharach|2008-01-09 19:30:00.000000
8197|29|9|1835|Willie Nelson|2008-01-09 19:30:00.000000
8603|128|9|1835|Fiction Plane|2008-01-09 19:30:00.000000
1209|223|6|1836|Chicago|2008-01-10 14:00:00.000000
1397|222|6|1836|Mamma Mia!|2008-01-10 20:00:00.000000
2605|237|7|1836|Our Town|2008-01-10 19:00:00.000000
3753|247|7|1836|The 39 Steps|2008-01-10 15:00:00.000000
4410|7|9|1836|Linkin Park|2008-01-10 14:00:00.000000
4648|28|9|1836|Crue Fest|2008-01-10 14:00:00.000000
5214|128|9|1836|Jesse Lacey|2008-01-10 14:00:00.000000
5338|116|9|1836|Hall and Oates|2008-01-10 19:00:00.000000
6152|92|9|1836|Coheed and Cambria|2008-01-10 19:30:00.000000
6665|125|9|1836|Sweet Honey in the Rock|2008-01-10 19:00:00.000000
8724|21|9|1836|Govt Mule|2008-01-10 15:00:00.000000
674|241|6|1837|High Society|2008-01-11 19:30:00.000000
915|203|6|1837|Dirty Dancing|2008-01-11 19:00:00.000000
1547|258|6|1837|Le Reve|2008-01-11 15:00:00.000000
1571|252|6|1837|Phantom of the Opera|2008-01-11 14:00:00.000000
1811|248|7|1837|The Glass Menagerie|2008-01-11 14:30:00.000000
2377|206|7|1837|A Doll's House|2008-01-11 19:00:00.000000
3173|227|7|1837|The Farnsworth Invention|2008-01-11 14:00:00.000000
6469|93|9|1837|Trisha Yearwood|2008-01-11 19:00:00.000000
6570|54|9|1837|Tailgate 2008|2008-01-11 19:30:00.000000
7079|127|9|1837|Tegan and Sara|2008-01-11 14:00:00.000000
7888|88|9|1837|LeAnn Rimes|2008-01-11 14:00:00.000000
7905|63|9|1837|Sara Evans|2008-01-11 14:00:00.000000
8029|88|9|1837|Backstreet Boys|2008-01-11 19:00:00.000000
804|242|6|1838|Seven Brides for Seven Brothers|2008-01-12 20:00:00.000000
1779|255|6|1838|Folies Bergere|2008-01-12 20:00:00.000000
2924|213|7|1838|A Man For All Seasons|2008-01-12 14:00:00.000000
3617|211|7|1838|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-01-12 19:30:00.000000
3625|209|7|1838|Miss Julie|2008-01-12 19:00:00.000000
5896|60|9|1838|Boston|2008-01-12 14:00:00.000000
6746|116|9|1838|ZZ Top|2008-01-12 19:30:00.000000
7235|15|9|1838|Joe Cocker|2008-01-12 14:00:00.000000
8445|3|9|1838|Gary Allan|2008-01-12 15:00:00.000000
497|304|8|1839|The Fly|2008-01-13 19:30:00.000000
688|209|6|1839|Grease|2008-01-13 14:30:00.000000
1952|240|7|1839|The Country Girl|2008-01-13 15:00:00.000000
2834|212|7|1839|August: Osage County|2008-01-13 19:30:00.000000
2959|235|7|1839|The Homecoming|2008-01-13 20:00:00.000000
3210|242|7|1839|As You Like It|2008-01-13 19:00:00.000000
5246|76|9|1839|Killing Joke|2008-01-13 19:00:00.000000
5955|25|9|1839|Teena Marie|2008-01-13 19:30:00.000000
7145|66|9|1839|Cowboy Junkies|2008-01-13 14:00:00.000000
7374|98|9|1839|The Police|2008-01-13 19:00:00.000000
7483|47|9|1839|Sara Bareilles|2008-01-13 15:00:00.000000
7802|67|9|1839|Joshua Radin|2008-01-13 19:30:00.000000
8051|47|9|1839|Kanye West|2008-01-13 14:00:00.000000
8746|105|9|1839|David Byrne|2008-01-13 19:00:00.000000
8791|117|9|1839|Teena Marie|2008-01-13 15:00:00.000000
1726|263|6|1840|Folies Bergere|2008-01-14 14:00:00.000000
1806|218|7|1840|The Tempest|2008-01-14 20:00:00.000000
1970|214|7|1840|The Caretaker|2008-01-14 15:00:00.000000
2907|209|7|1840|Look Back in Anger|2008-01-14 19:00:00.000000
3212|223|7|1840|The Caretaker|2008-01-14 14:30:00.000000
3339|217|7|1840|Thurgood|2008-01-14 19:30:00.000000
4385|34|9|1840|James Taylor|2008-01-14 19:30:00.000000
4476|28|9|1840|Temptations|2008-01-14 19:00:00.000000
4839|25|9|1840|Backstreet Boys|2008-01-14 19:00:00.000000
5359|84|9|1840|America|2008-01-14 14:00:00.000000
5517|108|9|1840|Joan Baez|2008-01-14 19:30:00.000000
5966|48|9|1840|Rick Springfield|2008-01-14 19:00:00.000000
6545|53|9|1840|Trace Adkins|2008-01-14 19:00:00.000000
6632|84|9|1840|Mariah Carey|2008-01-14 19:30:00.000000
7997|77|9|1840|Led Zeppelin|2008-01-14 19:30:00.000000
8308|96|9|1840|Ween|2008-01-14 19:00:00.000000
1622|254|6|1841|Phantom of the Opera|2008-01-15 15:00:00.000000
1883|237|7|1841|Hedda Gabler|2008-01-15 20:00:00.000000
1935|210|7|1841|Uncle Vanya|2008-01-15 14:30:00.000000
2397|228|7|1841|Spring Awakening|2008-01-15 20:00:00.000000
5487|27|9|1841|George Jones|2008-01-15 14:00:00.000000
5866|120|9|1841|Rusted Root|2008-01-15 15:00:00.000000
7149|2|9|1841|Fiction Plane|2008-01-15 19:00:00.000000
8207|55|9|1841|Bruce Hornsby|2008-01-15 15:00:00.000000
8788|110|9|1841|The Jesus and Mary Chain|2008-01-15 19:00:00.000000
559|219|6|1842|Mary Poppins|2008-01-16 19:00:00.000000
1268|245|6|1842|Gypsy|2008-01-16 15:00:00.000000
1818|212|7|1842|Othello|2008-01-16 14:30:00.000000
1941|206|7|1842|The Seafarer|2008-01-16 19:00:00.000000
2352|243|7|1842|Electra|2008-01-16 15:00:00.000000
2596|214|7|1842|Oedipus the King|2008-01-16 14:00:00.000000
2781|216|7|1842|Avenue Q|2008-01-16 19:30:00.000000
3282|204|7|1842|Our Town|2008-01-16 14:30:00.000000
5839|97|9|1842|My Morning Jacket|2008-01-16 14:00:00.000000
6157|21|9|1842|The Whigs|2008-01-16 14:00:00.000000
6521|41|9|1842|Jesse Lacey|2008-01-16 19:30:00.000000
6739|90|9|1842|Cowboy Junkies|2008-01-16 15:00:00.000000
6881|14|9|1842|Justin Timberlake|2008-01-16 15:00:00.000000
7151|43|9|1842|Tina Turner|2008-01-16 19:00:00.000000
8007|27|9|1842|Boyz II Men|2008-01-16 19:00:00.000000
8725|1|9|1842|Zappa Plays Zappa|2008-01-16 15:00:00.000000
854|207|6|1843|Billy Elliot the Musical|2008-01-17 14:30:00.000000
1130|223|6|1843|Jersey Boys|2008-01-17 20:00:00.000000
1150|238|6|1843|Spamalot|2008-01-17 14:00:00.000000
1188|201|6|1843|Gypsy|2008-01-17 19:00:00.000000
2787|231|7|1843|A Streetcar Named Desire|2008-01-17 14:00:00.000000
3044|245|7|1843|The Frogs|2008-01-17 15:00:00.000000
3662|242|7|1843|A Midsummer Night's Dream|2008-01-17 14:00:00.000000
3871|54|9|1843|Steely Dan|2008-01-17 14:30:00.000000
4226|62|9|1843|Kid Rock|2008-01-17 20:00:00.000000
5112|80|9|1843|Michael Buble|2008-01-17 19:30:00.000000
5325|111|9|1843|Counting Crows|2008-01-17 19:00:00.000000
5582|19|9|1843|David Byrne|2008-01-17 15:00:00.000000
7332|104|9|1843|New Kids on the Block|2008-01-17 15:00:00.000000
7686|42|9|1843|Jessica Simpson|2008-01-17 15:00:00.000000
405|301|8|1844|La Damnation de Faust|2008-01-18 14:00:00.000000
422|303|8|1844|Don Giovanni|2008-01-18 14:30:00.000000
1469|204|6|1844|Curtains|2008-01-18 19:30:00.000000
1916|203|7|1844|Uncle Vanya|2008-01-18 15:00:00.000000
2258|217|7|1844|Look Back in Anger|2008-01-18 15:00:00.000000
2491|222|7|1844|The Country Girl|2008-01-18 20:00:00.000000
3102|200|7|1844|Miss Julie|2008-01-18 20:00:00.000000
3187|234|7|1844|Rhinoceros|2008-01-18 14:00:00.000000
3587|226|7|1844|Look Back in Anger|2008-01-18 19:00:00.000000
3920|123|9|1844|Keith Sweat|2008-01-18 20:00:00.000000
4248|119|9|1844|Godsmack|2008-01-18 19:30:00.000000
4692|100|9|1844|Projekt Revolution|2008-01-18 19:30:00.000000
5841|84|9|1844|Bruce Hornsby|2008-01-18 19:30:00.000000
6699|3|9|1844|Gogol Bordello|2008-01-18 19:30:00.000000
7003|41|9|1844|Gwen Stefani|2008-01-18 15:00:00.000000
169|307|8|1845|La Boheme|2008-01-19 19:00:00.000000
4267|112|9|1845|Conor Oberst|2008-01-19 19:30:00.000000
4347|47|9|1845|Paramore|2008-01-19 14:30:00.000000
5767|121|9|1845|Erykah Badu|2008-01-19 14:00:00.000000
6753|14|9|1845|Country Thunder USA|2008-01-19 19:00:00.000000
8106|91|9|1845|Bob Dylan|2008-01-19 19:00:00.000000
8450|54|9|1845|The Jesus and Mary Chain|2008-01-19 19:30:00.000000
8528|79|9|1845|America|2008-01-19 19:30:00.000000
206|308|8|1846|Thais|2008-01-20 15:00:00.000000
2163|222|7|1846|The 39 Steps|2008-01-20 20:00:00.000000
3023|242|7|1846|Waiting for Godot|2008-01-20 14:30:00.000000
3509|220|7|1846|The Homecoming|2008-01-20 14:30:00.000000
4282|8|9|1846|Buckcherry|2008-01-20 15:00:00.000000
4353|13|9|1846|Bruce Hornsby|2008-01-20 19:00:00.000000
5644|119|9|1846|Hippiefest|2008-01-20 19:30:00.000000
5653|73|9|1846|At The Gates|2008-01-20 19:30:00.000000
5924|73|9|1846|Toadies|2008-01-20 15:00:00.000000
6149|87|9|1846|3 Doors Down|2008-01-20 19:00:00.000000
6160|123|9|1846|Toadies|2008-01-20 14:00:00.000000
6864|58|9|1846|Matisyahu|2008-01-20 19:00:00.000000
6910|108|9|1846|Lenny Kravitz|2008-01-20 19:00:00.000000
7108|116|9|1846|Nas|2008-01-20 19:00:00.000000
7717|119|9|1846|Bad Company|2008-01-20 19:30:00.000000
8183|13|9|1846|James Taylor|2008-01-20 19:30:00.000000
488|307|8|1847|La Cenerentola (Cinderella)|2008-01-21 14:30:00.000000
523|217|6|1847|Mamma Mia!|2008-01-21 14:00:00.000000
1044|202|6|1847|Fiddler on the Roof|2008-01-21 14:30:00.000000
2511|213|7|1847|November|2008-01-21 20:00:00.000000
2692|205|7|1847|A Bronx Tale|2008-01-21 19:00:00.000000
2954|233|7|1847|Iphigenia|2008-01-21 14:00:00.000000
3168|227|7|1847|A Man For All Seasons|2008-01-21 14:30:00.000000
3969|73|9|1847|Loretta Lynn|2008-01-21 14:00:00.000000
4287|62|9|1847|Alicia Keys|2008-01-21 15:00:00.000000
4826|71|9|1847|Jerry Jeff Walker|2008-01-21 19:30:00.000000
5390|84|9|1847|The Roots|2008-01-21 15:00:00.000000
5529|27|9|1847|Celtic Thunder|2008-01-21 14:00:00.000000
5590|105|9|1847|Ice Cube|2008-01-21 14:00:00.000000
5847|87|9|1847|El Monstero y Los Masked Avengers|2008-01-21 15:00:00.000000
7691|102|9|1847|Allman Brothers Band|2008-01-21 14:00:00.000000
8067|52|9|1847|Billy Joel|2008-01-21 14:00:00.000000
8228|114|9|1847|The Guess Who|2008-01-21 15:00:00.000000
8236|71|9|1847|Susan Tedeschi|2008-01-21 19:00:00.000000
1749|250|6|1848|Phantom of the Opera|2008-01-22 19:30:00.000000
2242|231|7|1848|Romeo and Juliet|2008-01-22 15:00:00.000000
3926|72|9|1848|Neil Diamond|2008-01-22 19:30:00.000000
3999|2|9|1848|Soulfest|2008-01-22 14:30:00.000000
4663|19|9|1848|Marc Anthony|2008-01-22 14:00:00.000000
7098|25|9|1848|Marco Antonio Solis|2008-01-22 15:00:00.000000
7819|59|9|1848|Medeski Martin and Wood|2008-01-22 19:30:00.000000
8182|10|9|1848|Sevendust|2008-01-22 15:00:00.000000
1002|218|6|1849|The King and I|2008-01-23 14:30:00.000000
1050|204|6|1849|Billy Elliot the Musical|2008-01-23 19:00:00.000000
1054|204|6|1849|The Little Mermaid|2008-01-23 14:30:00.000000
1934|244|7|1849|The Country Girl|2008-01-23 14:00:00.000000
2402|248|7|1849|Spring Awakening|2008-01-23 19:00:00.000000
4802|70|9|1849|Nas|2008-01-23 15:00:00.000000
4887|70|9|1849|Tom Petty and the Heartbreakers|2008-01-23 15:00:00.000000
6213|43|9|1849|Cowboy Junkies|2008-01-23 19:00:00.000000
8541|121|9|1849|Ani DiFranco|2008-01-23 19:00:00.000000
945|220|6|1850|The Phantom of the Opera|2008-01-24 19:00:00.000000
2365|218|7|1850|Avenue Q|2008-01-24 14:00:00.000000
2950|237|7|1850|The Glass Menagerie|2008-01-24 19:00:00.000000
3441|223|7|1850|November|2008-01-24 14:00:00.000000
3567|200|7|1850|Uncle Vanya|2008-01-24 15:00:00.000000
7008|95|9|1850|Old 97s|2008-01-24 19:00:00.000000
7363|110|9|1850|Bootsy Collins|2008-01-24 14:00:00.000000
1|305|8|1851|Gotterdammerung|2008-01-25 14:30:00.000000
208|302|8|1851|Adriana Lecouvreur|2008-01-25 19:30:00.000000
571|245|6|1851|West Side Story|2008-01-25 14:00:00.000000
2345|230|7|1851|To Be or Not To Be|2008-01-25 19:30:00.000000
3136|229|7|1851|A Midsummer Night's Dream|2008-01-25 14:30:00.000000
3139|226|7|1851|Hamlet|2008-01-25 14:30:00.000000
5511|15|9|1851|Kid Rock|2008-01-25 19:30:00.000000
6269|44|9|1851|Toby Keith|2008-01-25 14:00:00.000000
7928|34|9|1851|Jonas Brothers|2008-01-25 14:00:00.000000
852|227|6|1852|Spamalot|2008-01-26 19:00:00.000000
1215|212|6|1852|The King and I|2008-01-26 19:30:00.000000
1246|208|6|1852|Chicago|2008-01-26 19:30:00.000000
2063|231|7|1852|Look Back in Anger|2008-01-26 19:30:00.000000
5254|18|9|1852|Blake Shelton|2008-01-26 19:30:00.000000
5648|41|9|1852|Gretchen Wilson|2008-01-26 14:00:00.000000
5888|99|9|1852|Calibash|2008-01-26 19:30:00.000000
415|306|8|1853|La Boheme|2008-01-27 20:00:00.000000
1317|245|6|1853|Gypsy|2008-01-27 15:00:00.000000
1400|209|6|1853|Memphis - The Birth of Rock n Roll|2008-01-27 14:30:00.000000
1641|254|6|1853|Blue Man Group|2008-01-27 15:00:00.000000
1928|246|7|1853|Young Frankenstein|2008-01-27 19:30:00.000000
3209|240|7|1853|As You Like It|2008-01-27 19:30:00.000000
4378|5|9|1853|Cafe Tacuba|2008-01-27 19:30:00.000000
5448|109|9|1853|Motorhead|2008-01-27 19:30:00.000000
7065|74|9|1853|Jamboree in the Hills|2008-01-27 15:00:00.000000
7591|83|9|1853|Robert Cray Band|2008-01-27 15:00:00.000000
1269|244|6|1854|Jersey Boys|2008-01-28 15:00:00.000000
1745|255|6|1854|Mamma Mia!|2008-01-28 15:00:00.000000
1923|221|7|1854|Spring Awakening|2008-01-28 19:00:00.000000
2428|243|7|1854|The Frogs|2008-01-28 19:00:00.000000
2483|229|7|1854|Spring Awakening|2008-01-28 14:00:00.000000
2668|239|7|1854|Macbeth|2008-01-28 14:00:00.000000
3960|109|9|1854|Cowboy Junkies|2008-01-28 15:00:00.000000
3978|25|9|1854|Anita Baker|2008-01-28 14:00:00.000000
4556|44|9|1854|Santana|2008-01-28 19:00:00.000000
5169|41|9|1854|Rock The Bayou|2008-01-28 19:00:00.000000
5724|75|9|1854|Merle Haggard|2008-01-28 15:00:00.000000
5779|105|9|1854|Montgomery Gentry|2008-01-28 19:00:00.000000
6096|79|9|1854|Ben Harper|2008-01-28 15:00:00.000000
7909|2|9|1854|Dwight Yoakam|2008-01-28 15:00:00.000000
641|203|6|1855|Grease|2008-01-29 19:00:00.000000
700|228|6|1855|Fiddler on the Roof|2008-01-29 19:30:00.000000
1274|216|6|1855|Hairspray|2008-01-29 15:00:00.000000
2621|222|7|1855|Hedda Gabler|2008-01-29 14:00:00.000000
3468|223|7|1855|Our Town|2008-01-29 19:00:00.000000
3502|237|7|1855|Romeo and Juliet|2008-01-29 14:00:00.000000
3862|116|9|1855|Teddy Geiger|2008-01-29 19:30:00.000000
5300|45|9|1855|Bow Wow|2008-01-29 19:00:00.000000
6182|44|9|1855|Chaka Khan|2008-01-29 15:00:00.000000
6344|13|9|1855|Jack Johnson|2008-01-29 14:00:00.000000
7170|27|9|1855|Charlie Daniels Band|2008-01-29 19:00:00.000000
7258|23|9|1855|Willie Nelson|2008-01-29 14:00:00.000000
7638|103|9|1855|Linkin Park|2008-01-29 15:00:00.000000
8496|69|9|1855|Killers|2008-01-29 19:00:00.000000
134|302|8|1856|L Elisir d Amore|2008-01-30 15:00:00.000000
649|210|6|1856|Hairspray|2008-01-30 15:00:00.000000
934|220|6|1856|Shrek the Musical|2008-01-30 14:30:00.000000
958|238|6|1856|Grease|2008-01-30 14:30:00.000000
1470|240|6|1856|Seven Brides for Seven Brothers|2008-01-30 14:30:00.000000
2017|221|7|1856|The Caretaker|2008-01-30 14:00:00.000000
2077|209|7|1856|Uncle Vanya|2008-01-30 14:30:00.000000
2360|238|7|1856|Macbeth|2008-01-30 19:30:00.000000
3734|244|7|1856|Hedda Gabler|2008-01-30 20:00:00.000000
5829|123|9|1856|Killing Joke|2008-01-30 15:00:00.000000
5975|28|9|1856|Missy Higgins|2008-01-30 14:00:00.000000
6870|82|9|1856|Ray Davies|2008-01-30 14:00:00.000000
8737|84|9|1856|Soulfest|2008-01-30 19:30:00.000000
2510|222|7|1857|The Homecoming|2008-01-31 15:00:00.000000
2517|218|7|1857|Avenue Q|2008-01-31 14:30:00.000000
2864|218|7|1857|King Lear|2008-01-31 14:30:00.000000
3094|211|7|1857|A Man For All Seasons|2008-01-31 15:00:00.000000
3622|216|7|1857|A Man For All Seasons|2008-01-31 14:30:00.000000
4595|56|9|1857|Robert Plant and Alison Krauss|2008-01-31 15:00:00.000000
5697|39|9|1857|G. Love and Special Sauce|2008-01-31 19:00:00.000000
6561|22|9|1857|Chicago|2008-01-31 19:00:00.000000
6773|42|9|1857|Monsters of Rock|2008-01-31 19:30:00.000000
6977|27|9|1857|Lonestar|2008-01-31 15:00:00.000000
7423|45|9|1857|Trace Adkins|2008-01-31 14:00:00.000000
8534|7|9|1857|Gipsy Kings|2008-01-31 15:00:00.000000
603|247|6|1858|Gypsy|2008-02-01 14:30:00.000000
720|239|6|1858|Mary Poppins|2008-02-01 15:00:00.000000
903|207|6|1858|Billy Elliot the Musical|2008-02-01 19:30:00.000000
1221|203|6|1858|Seven Brides for Seven Brothers|2008-02-01 14:30:00.000000
1281|220|6|1858|Mamma Mia!|2008-02-01 14:00:00.000000
2640|249|7|1858|The Country Girl|2008-02-01 19:00:00.000000
3714|205|7|1858|A Doll's House|2008-02-01 19:30:00.000000
4118|94|9|1858|Dixie Chicks|2008-02-01 14:00:00.000000
4415|5|9|1858|Dave Matthews Band|2008-02-01 15:00:00.000000
4437|114|9|1858|Daughtry|2008-02-01 20:00:00.000000
4515|121|9|1858|Extreme|2008-02-01 19:30:00.000000
4525|95|9|1858|Eric Clapton|2008-02-01 20:00:00.000000
5152|16|9|1858|My Bloody Valentine|2008-02-01 19:00:00.000000
5837|116|9|1858|Kool and The Gang|2008-02-01 19:00:00.000000
6717|103|9|1858|Regina Spektor|2008-02-01 14:00:00.000000
7430|32|9|1858|Govt Mule|2008-02-01 14:00:00.000000
1096|233|6|1859|Grease|2008-02-02 15:00:00.000000
3021|200|7|1859|Rock 'n' Roll|2008-02-02 20:00:00.000000
